,Training Loss,Predicted Gender Loss,Predicted Age Loss,Predicted Gender Accuracy,Predicted Age Accuracy
0,6.965950937344987,0.7622088573450767,4.312621115059681,0.6584705106533774,0.0332975573170574
1,5.110058753753398,0.5303642808525466,3.99253287312039,0.7497704731524449,0.03532127293664171
2,4.7176689107537095,0.4193922618970703,3.9354826340968794,0.8134108336735525,0.03713162556759245
3,4.712766236983783,0.39504522697129196,3.9144559369438623,0.8254108853855814,0.03713809111332879
4,4.415796348559741,0.34895173377109784,3.8546819819736644,0.8509756507517201,0.039051892466787926
5,4.316132938863543,0.3276166981480785,3.7934806348064853,0.8615144892804257,0.04194845667450265
6,4.230407804103118,0.3137804766883968,3.7479811821584703,0.8698550424809436,0.044204931918050853
7,4.1737681732758825,0.3035251620895405,3.7189153437640154,0.874911098757819,0.045459247669291415
8,4.02826960019952,0.27547957171391263,3.6298656856491287,0.8895555584314434,0.051989448231247404
9,3.9792803773536805,0.26778279054427406,3.599018695724947,0.8932538502336546,0.05387738740301363
10,3.9478805972670488,0.26228759097772114,3.5756325045512836,0.8957107573670174,0.055273945146435716
11,3.9187246678528593,0.25677958091200515,3.5521269039050067,0.8978573183520516,0.05849378661288338
12,3.8913331721499964,0.25212582850982507,3.5278613841863695,0.8996353432511653,0.05939249738318843
13,3.863565878365387,0.2472290936362012,3.502206641758646,0.9021569058417953,0.06133216091460713
14,3.8360635655324593,0.24200700072551717,3.4766531092124175,0.9035728602224505,0.06386665459764913
15,3.715546329726261,0.22141089376560302,3.376756075862683,0.9119263445039396,0.07474170147294752
16,3.661998444328763,0.2138011473319088,3.3304223417041112,0.9141892852917067,0.07831068237372726
17,3.6135180823107698,0.20775181576194368,3.2865772892958858,0.9157280850363908,0.08268139086893118
18,3.5543984629981384,0.20086801967593965,3.2323389677253895,0.9174673166633024,0.08778917150591668
19,3.4830485035625722,0.19376237148060213,3.16569034963815,0.9186957702326815,0.09422885443481374
20,3.400063651216002,0.18592817877495488,3.0879245443182444,0.9196656019991977,0.10404355191234341
21,3.310340610686936,0.17886474174393585,3.002339400565991,0.9208681933896778,0.11753714455839176
22,3.219376699422524,0.17176343919614787,2.9154455621694524,0.9216699209848728,0.1283022771654695
23,3.0237448805326506,0.15034399825732334,2.739485756144508,0.9303531480669773,0.16508476329648986
24,2.961820571956832,0.14563419612320214,2.68140083936398,0.9306828908675928,0.178229216506207
25,2.918551617162723,0.1424395157105892,2.640384579115491,0.9308962538554557,0.18695770240523849
26,2.8794971232150153,0.14022334315648788,2.602568225809541,0.9309027194021073,0.19598360337817883
27,2.8441115057861652,0.13824000653244284,2.568152382834011,0.9311031512997499,0.20421424230373197
28,2.810736202526809,0.1367126927455601,2.5352729716872,0.9315234117311362,0.2132789365502233
29,2.7782474341344483,0.13453994114193504,2.50389774496219,0.9310772891185387,0.22213026780345652
